YEAR	STATE	UNSUSTAINABLE	SUSTAINABLE	TOTAL GENERATION	
2013	RI	28345559	57176.06	28402735.06	
2014	RI	27284512	230378.35	27514890.35	
2012	RI	27649914	106161	27756075	
2010	RI	25083860	143779	25227639	
2011	RI	24107231	137728	24244959	
2007	RI	16769545.16	159121	16928666.16	
2005	RI	14754240	6734	14760974	
2003	RI	11826787	107789	11934576	
1999	RI	12048453	120242	12168695	
2001	RI	11822947	106759	11929706	
2004	RI	6923399	106987	7030386	
2009	UT	45430286	1042672	46472958	
2006	RI	7612071	154822	7766893	
2000	RI	7454758	120106	7574864	
1991	UT	31721266	626965	32348231	
1995	UT	33971023	968743	34939766	
1991	DC	179814	0	179814	
1992	DC	73991	0	73991	
1993	DC	188452	0	188452	
1994	DC	274252	0	274252	
1995	DC	188862	0	188862	
1996	DC	109809	0	109809	
1997	DC	70661	0	70661	
1998	DC	243975	0	243975	
1999	DC	230003	0	230003	
2000	DC	144374	0	144374	
2001	DC	123239	0	123239	
2002	DC	261980	0	261980	
2003	DC	74144	0	74144	
2004	DC	36487	0	36487	
2005	DC	226042	0	226042	
2006	DC	81467	0	81467	
2007	DC	75251	0	75251	
2008	DC	72316	0	72316	
2009	DC	35499	0	35499	
2010	DC	199858	0	199858	
2011	DC	200873.96	0	200873.96	
2012	DC	71786.78	0	71786.78	
2013	DC	65852.08	0	65852.08	
2014	DC	67612.16	0	67612.16	
1991	DE	7831817	6315	7838132	
1992	RI	4711425	73780	4785205	
1991	RI	2843718	82101	2925819	
1993	RI	4581113	84183	4665296	
1994	RI	4646026	86894	4732920	
1995	RI	4399315	88898	4488213	
1996	RI	7615428	104608	7720036	
1994	DE	9121421	108855	9230276	
1993	DE	8908425	109255	9017680	
1997	RI	7597454	112099	7709553	
1998	RI	7554680	119831	7674511	
1995	DE	8909728	123109	9032837	
2010	DE	5489448	138197	5627645	
2002	DE	5856143	146346	6002489	
2001	DE	6650622	157062	6807684	
1996	DE	8696654	157795	8854449	
1999	DE	6682053	169685	6851738	
1992	DE	6813089	171196	6984285	
1997	DE	7044843	177792	7222635	
2003	DE	7207140	185147	7392287	
2000	DE	5801844	185607	5987451	
