YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
2008,1,AK,Total Electric Power Industry,Coal,55025
2008,1,AK,Total Electric Power Industry,Petroleum,124901
2008,1,AK,Total Electric Power Industry,Natural Gas,387570
2008,1,AK,Total Electric Power Industry,Hydroelectric Conventional,104105
2008,1,AK,Total Electric Power Industry,Wind,9
2008,1,AK,Total Electric Power Industry,Other Biomass,272
2008,1,AK,Total Electric Power Industry,Other,0
2008,1,AK,Total Electric Power Industry,Total,671881
2008,1,AK,"Electric Generators, Electric Utilities",Coal,18398
2008,1,AK,"Electric Generators, Electric Utilities",Petroleum,118212
2008,1,AK,"Electric Generators, Electric Utilities",Natural Gas,381738
2008,1,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,104105
2008,1,AK,"Electric Generators, Electric Utilities",Wind,9
2008,1,AK,"Electric Generators, Electric Utilities",Other,0
2008,1,AK,"Electric Generators, Electric Utilities",Total,622461
2008,1,AK,"Combined Heat and Power, Electric Power",Coal,14759
2008,1,AK,"Combined Heat and Power, Electric Power",Total,14759
2008,1,AK,"Combined Heat and Power, Commercial Power",Coal,21868
2008,1,AK,"Combined Heat and Power, Commercial Power",Petroleum,888
2008,1,AK,"Combined Heat and Power, Commercial Power",Natural Gas,0
2008,1,AK,"Combined Heat and Power, Commercial Power",Total,22756
2008,1,AK,"Combined Heat and Power, Industrial Power",Petroleum,5801
2008,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas,5832
2008,1,AK,"Combined Heat and Power, Industrial Power",Other Biomass,272
2008,1,AK,"Combined Heat and Power, Industrial Power",Total,11905
2008,1,AL,Total Electric Power Industry,Coal,6304259
2008,1,AL,Total Electric Power Industry,Petroleum,35495
2008,1,AL,Total Electric Power Industry,Natural Gas,2110529
2008,1,AL,Total Electric Power Industry,Other Gases,17991
2008,1,AL,Total Electric Power Industry,Nuclear,3184555
2008,1,AL,Total Electric Power Industry,Hydroelectric Conventional,584146
2008,1,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,304409
2008,1,AL,Total Electric Power Industry,Other Biomass,1815
2008,1,AL,Total Electric Power Industry,Other,1082
2008,1,AL,Total Electric Power Industry,Total,12544281
