YEAR,MONTH,STATE,SECTOR_NAME,ENERGY_SOURCE,GENERATION
2012,1,AK,Total Electric Power Industry,Total,724707.28
2012,1,AK,Total Electric Power Industry,Coal,59799.16
2012,1,AK,Total Electric Power Industry,Hydroelectric Conventional,162651.88
2012,1,AK,Total Electric Power Industry,Natural Gas,385256.38
2012,1,AK,Total Electric Power Industry,Other,0
2012,1,AK,Total Electric Power Industry,Other Biomass,109.47
2012,1,AK,Total Electric Power Industry,Other Gases,244.76
2012,1,AK,Total Electric Power Industry,Petroleum,115561.03
2012,1,AK,Total Electric Power Industry,Wind,1084.6
2012,1,AK,"Electric Generators, Independent Power Producers",Total,306.24
2012,1,AK,"Electric Generators, Independent Power Producers",Other,0
2012,1,AK,"Electric Generators, Independent Power Producers",Wind,306.24
2012,1,AK,"Electric Generators, Electric Utilities",Total,672127.62
2012,1,AK,"Electric Generators, Electric Utilities",Coal,18463.96
2012,1,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,162651.88
2012,1,AK,"Electric Generators, Electric Utilities",Natural Gas,381300.03
2012,1,AK,"Electric Generators, Electric Utilities",Petroleum,108933.39
2012,1,AK,"Electric Generators, Electric Utilities",Wind,778.36
2012,1,AK,"Combined Heat and Power, Industrial Power",Total,9274.31
2012,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas,3956.34
2012,1,AK,"Combined Heat and Power, Industrial Power",Other Biomass,109.47
2012,1,AK,"Combined Heat and Power, Industrial Power",Other Gases,244.76
2012,1,AK,"Combined Heat and Power, Industrial Power",Petroleum,4963.73
2012,1,AK,"Combined Heat and Power, Electric Power",Total,15821
2012,1,AK,"Combined Heat and Power, Electric Power",Coal,15821
2012,1,AK,"Combined Heat and Power, Commercial Power",Total,27178.12
2012,1,AK,"Combined Heat and Power, Commercial Power",Coal,25514.21
2012,1,AK,"Combined Heat and Power, Commercial Power",Natural Gas,0
2012,1,AK,"Combined Heat and Power, Commercial Power",Petroleum,1663.91
2012,1,AL,Total Electric Power Industry,Total,13201659.68
2012,1,AL,Total Electric Power Industry,Coal,3105997.98
