"U.S. Department of Energy, The Energy Information Administration (EIA)",,,,,
"Monthly Generation Data by State, Producer Sector and Energy Source; Months Through December 2015",,,,,
Sources: EIA-923 Report,,,,,
,,,,,
YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,"GENERATION
(Megawatthours)"
2015,1,AK,Total Electric Power Industry,Total,604729.08
2015,1,AK,Total Electric Power Industry,Coal,44132.36
2015,1,AK,Total Electric Power Industry,Hydroelectric Conventional,157436.77
2015,1,AK,Total Electric Power Industry,Natural Gas,309964.67
2015,1,AK,Total Electric Power Industry,Other,0
2015,1,AK,Total Electric Power Industry,Petroleum,73268.7
2015,1,AK,Total Electric Power Industry,Other Biomass,5494.83
2015,1,AK,Total Electric Power Industry,Wind,14431.75
2015,1,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,0
2015,1,AK,"Combined Heat and Power, Industrial Power",Total,11353.29
2015,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas,6312.52
2015,1,AK,"Combined Heat and Power, Industrial Power",Petroleum,4236.51
2015,1,AK,"Combined Heat and Power, Industrial Power",Other Biomass,804.26
2015,1,AK,"Combined Heat and Power, Commercial Power",Total,14947.99
2015,1,AK,"Combined Heat and Power, Commercial Power",Coal,9815.27
2015,1,AK,"Combined Heat and Power, Commercial Power",Natural Gas,236.06
2015,1,AK,"Combined Heat and Power, Commercial Power",Petroleum,206.09
2015,1,AK,"Combined Heat and Power, Commercial Power",Other Biomass,4690.57
2015,1,AK,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,0
2015,1,AK,"Combined Heat and Power, Electric Power",Total,16282.08
2015,1,AK,"Combined Heat and Power, Electric Power",Coal,16282.08
2015,1,AK,"Combined Heat and Power, Electric Power",Petroleum,0
2015,1,AK,"Combined Heat and Power, Electric Power",Other Biomass,0
2015,1,AK,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,0
2015,1,AK,"Electric Generators, Independent Power Producers",Total,4749.62
2015,1,AK,"Electric Generators, Independent Power Producers",Wind,4749.62
2015,1,AK,"Electric Generators, Electric Utilities",Total,557396.1
2015,1,AK,"Electric Generators, Electric Utilities",Coal,18035
2015,1,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,157436.77
2015,1,AK,"Electric Generators, Electric Utilities",Natural Gas,303416.09
2015,1,AK,"Electric Generators, Electric Utilities",Other,0
2015,1,AK,"Electric Generators, Electric Utilities",Petroleum,68826.11
2015,1,AK,"Electric Generators, Electric Utilities",Wind,9682.13
2015,1,AL,Total Electric Power Industry,Total,13483757.05
2015,1,AL,Total Electric Power Industry,Coal,3067964.93
2015,1,AL,Total Electric Power Industry,Hydroelectric Conventional,1183361.03
2015,1,AL,Total Electric Power Industry,Natural Gas,5063041.07
2015,1,AL,Total Electric Power Industry,Nuclear,3859942
2015,1,AL,Total Electric Power Industry,Other Gases,3119.24
2015,1,AL,Total Electric Power Industry,Other,0
2015,1,AL,Total Electric Power Industry,Petroleum,15753.93
2015,1,AL,Total Electric Power Industry,Other Biomass,3958.38
2015,1,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,286616.46
2015,1,AL,"Combined Heat and Power, Industrial Power",Total,380654.92
