"U.S. Department of Energy, The Energy Information Administration (EIA)",,,,,
"Monthly Generation Data by State, Producer Sector and Energy Source; Months Through July 2016",,,,,
Sources: EIA-923 Report,,,,,
,,,,,
YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,"GENERATION
(Megawatthours)"
2016,1,AK,Total Electric Power Industry,Total,540123
2016,1,AK,Total Electric Power Industry,Coal,65904
2016,1,AK,Total Electric Power Industry,Hydroelectric Conventional,134185
2016,1,AK,Total Electric Power Industry,Natural Gas,246185
2016,1,AK,Total Electric Power Industry,Other,133
2016,1,AK,Total Electric Power Industry,Petroleum,72765
2016,1,AK,Total Electric Power Industry,Other Biomass,5382
2016,1,AK,Total Electric Power Industry,Wind,15570
2016,1,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,0
2016,1,AK,"Combined Heat and Power, Industrial Power",Total,13456
2016,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas,8023
2016,1,AK,"Combined Heat and Power, Industrial Power",Petroleum,4534
2016,1,AK,"Combined Heat and Power, Industrial Power",Other Biomass,899
2016,1,AK,"Combined Heat and Power, Commercial Power",Total,15401
2016,1,AK,"Combined Heat and Power, Commercial Power",Coal,10074
2016,1,AK,"Combined Heat and Power, Commercial Power",Natural Gas,667
2016,1,AK,"Combined Heat and Power, Commercial Power",Petroleum,177
2016,1,AK,"Combined Heat and Power, Commercial Power",Other Biomass,4483
2016,1,AK,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,0
2016,1,AK,"Combined Heat and Power, Electric Power",Total,16847
2016,1,AK,"Combined Heat and Power, Electric Power",Coal,16847
2016,1,AK,"Combined Heat and Power, Electric Power",Petroleum,0
2016,1,AK,"Combined Heat and Power, Electric Power",Other Biomass,0
2016,1,AK,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,0
2016,1,AK,"Electric Generators, Independent Power Producers",Total,4819
2016,1,AK,"Electric Generators, Independent Power Producers",Wind,4819
2016,1,AK,"Electric Generators, Electric Utilities",Total,489599
2016,1,AK,"Electric Generators, Electric Utilities",Coal,38982
2016,1,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,134185
2016,1,AK,"Electric Generators, Electric Utilities",Natural Gas,237495
2016,1,AK,"Electric Generators, Electric Utilities",Other,133
2016,1,AK,"Electric Generators, Electric Utilities",Petroleum,68054
2016,1,AK,"Electric Generators, Electric Utilities",Wind,10751
2016,1,AL,Total Electric Power Industry,Total,13015110
2016,1,AL,Total Electric Power Industry,Coal,2479677
2016,1,AL,Total Electric Power Industry,Hydroelectric Conventional,1729343
2016,1,AL,Total Electric Power Industry,Natural Gas,4826956
2016,1,AL,Total Electric Power Industry,Nuclear,3688710
2016,1,AL,Total Electric Power Industry,Other Gases,4071
2016,1,AL,Total Electric Power Industry,Other,0
2016,1,AL,Total Electric Power Industry,Petroleum,11726
2016,1,AL,Total Electric Power Industry,Other Biomass,3998
2016,1,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,270629
2016,1,AL,"Combined Heat and Power, Industrial Power",Total,373268
2016,1,AL,"Combined Heat and Power, Industrial Power",Coal,15864
2016,1,AL,"Combined Heat and Power, Industrial Power",Natural Gas,96557
2016,1,AL,"Combined Heat and Power, Industrial Power",Other Gases,4071
2016,1,AL,"Combined Heat and Power, Industrial Power",Other,0
2016,1,AL,"Combined Heat and Power, Industrial Power",Petroleum,2810
2016,1,AL,"Combined Heat and Power, Industrial Power",Other Biomass,0
2016,1,AL,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,253967
2016,1,AL,"Combined Heat and Power, Electric Power",Total,477530
2016,1,AL,"Combined Heat and Power, Electric Power",Coal,0
2016,1,AL,"Combined Heat and Power, Electric Power",Natural Gas,461213
2016,1,AL,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,16317
2016,1,AL,"Electric Generators, Independent Power Producers",Total,2760066
2016,1,AL,"Electric Generators, Independent Power Producers",Natural Gas,2751609
2016,1,AL,"Electric Generators, Independent Power Producers",Petroleum,4458
2016,1,AL,"Electric Generators, Independent Power Producers",Other Biomass,3998
2016,1,AL,"Electric Generators, Electric Utilities",Total,9404246
2016,1,AL,"Electric Generators, Electric Utilities",Coal,2463813
2016,1,AL,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1729343
2016,1,AL,"Electric Generators, Electric Utilities",Natural Gas,1517577
2016,1,AL,"Electric Generators, Electric Utilities",Nuclear,3688710
2016,1,AL,"Electric Generators, Electric Utilities",Petroleum,4458
2016,1,AL,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,344
2016,1,AR,Total Electric Power Industry,Total,5127037
2016,1,AR,Total Electric Power Industry,Coal,1911342
2016,1,AR,Total Electric Power Industry,Pumped Storage,12681
2016,1,AR,Total Electric Power Industry,Hydroelectric Conventional,489749
2016,1,AR,Total Electric Power Industry,Natural Gas,1193477
2016,1,AR,Total Electric Power Industry,Nuclear,1386411
2016,1,AR,Total Electric Power Industry,Other,607
2016,1,AR,Total Electric Power Industry,Petroleum,6681
2016,1,AR,Total Electric Power Industry,Solar Thermal and Photovoltaic,1372
2016,1,AR,Total Electric Power Industry,Other Biomass,11782
2016,1,AR,Total Electric Power Industry,Wood and Wood Derived Fuels,112934
2016,1,AR,"Combined Heat and Power, Industrial Power",Total,154648
2016,1,AR,"Combined Heat and Power, Industrial Power",Coal,6849
2016,1,AR,"Combined Heat and Power, Industrial Power",Natural Gas,33908
2016,1,AR,"Combined Heat and Power, Industrial Power",Other,607
2016,1,AR,"Combined Heat and Power, Industrial Power",Petroleum,350
2016,1,AR,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,112934
2016,1,AR,"Combined Heat and Power, Commercial Power",Total,615
2016,1,AR,"Combined Heat and Power, Commercial Power",Natural Gas,263
2016,1,AR,"Combined Heat and Power, Commercial Power",Other Biomass,352
2016,1,AR,"Combined Heat and Power, Electric Power",Total,125960
2016,1,AR,"Combined Heat and Power, Electric Power",Natural Gas,121108
2016,1,AR,"Combined Heat and Power, Electric Power",Petroleum,0
2016,1,AR,"Combined Heat and Power, Electric Power",Other Biomass,4852
2016,1,AR,"Electric Generators, Independent Power Producers",Total,776064
2016,1,AR,"Electric Generators, Independent Power Producers",Coal,401483
2016,1,AR,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,5607
2016,1,AR,"Electric Generators, Independent Power Producers",Natural Gas,360439
2016,1,AR,"Electric Generators, Independent Power Producers",Petroleum,584
2016,1,AR,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,1372
2016,1,AR,"Electric Generators, Independent Power Producers",Other Biomass,6579
2016,1,AR,"Electric Generators, Electric Utilities",Total,4069750
2016,1,AR,"Electric Generators, Electric Utilities",Coal,1503010
2016,1,AR,"Electric Generators, Electric Utilities",Pumped Storage,12681
2016,1,AR,"Electric Generators, Electric Utilities",Hydroelectric Conventional,484142
2016,1,AR,"Electric Generators, Electric Utilities",Natural Gas,677759
2016,1,AR,"Electric Generators, Electric Utilities",Nuclear,1386411
2016,1,AR,"Electric Generators, Electric Utilities",Petroleum,5747
2016,1,AZ,Total Electric Power Industry,Total,8600251
2016,1,AZ,Total Electric Power Industry,Coal,2664710
2016,1,AZ,Total Electric Power Industry,Pumped Storage,-688
2016,1,AZ,Total Electric Power Industry,Hydroelectric Conventional,616887
2016,1,AZ,Total Electric Power Industry,Natural Gas,2039289
2016,1,AZ,Total Electric Power Industry,Nuclear,3002325
2016,1,AZ,Total Electric Power Industry,Petroleum,2532
2016,1,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,211137
2016,1,AZ,Total Electric Power Industry,Other Biomass,5255
2016,1,AZ,Total Electric Power Industry,Wind,41681
2016,1,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,17123
2016,1,AZ,"Combined Heat and Power, Commercial Power",Total,11567
2016,1,AZ,"Combined Heat and Power, Commercial Power",Natural Gas,10359
2016,1,AZ,"Combined Heat and Power, Commercial Power",Petroleum,3
2016,1,AZ,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,1205
2016,1,AZ,"Combined Heat and Power, Electric Power",Total,3483
2016,1,AZ,"Combined Heat and Power, Electric Power",Natural Gas,3483
